1f600	にっこり笑う|スマイル|ナイス|にっこり|ハッピー|笑う|笑顔|顔	grinning face|cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth
1f603	わーい|スマイル|ハッピー|口を開けた笑顔|笑顔|顔	grinning face with big eyes|awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay
1f604	笑顔|スマイル|ハッピー|わーい|顔	grinning face with smiling eyes|eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling
1f601	にやっと笑う|スマイル|ナイス|ハッピー|笑う|笑顔|顔	beaming face with smiling eyes|beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth
1f606	きゃー|あはは|うけるね|スマイル|嬉しい|満足|笑|笑顔|顔	grinning squinting face|closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting
1f605	冷や汗笑顔|スマイル|とほほ|冷や汗|汗|笑顔|顔	grinning face with sweat|cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat
1f923	笑い転げる|あはは|うけるね|スマイル|泣き笑い|涙|爆笑|笑う|笑顔|顔	rolling on the floor laughing|crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear
1f602	嬉し泣き|あはは|スマイル|大笑い|泣き笑い|涙|爆笑|笑う|笑顔|顔	face with tears of joy|crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear
1f642	微笑む|スマイル|ハッピー|ほほえみ|微笑み|笑顔|顔	slightly smiling face|face|happy|slightly|smile|smiling
1f643	さかさまの顔|さかさま|笑顔|顔	upside-down face|face|hehe|smile|upside-down
1fae0	溶けている顔|とろける|暑い|液体|溶けそう|溶ける|顔	melting face|disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|sarcasm|sarcastic
1f609	ウインク|ウィンク|ウィンクする顔|顔	winking face|face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks
1f60a	にこにこ|スマイル|微笑み|満足|目を細める|頬を赤らめる|顔	smiling face with smiling eyes|blush|eye|eyes|face|glad|satisfied|smile|smiling
